nearest_base,nearest_hospital_distance
0,7891.9935135369715
0,2636.563886823581
1,3530.434301770141
1,5688.570698556015
2,3036.614474102844
2,4761.378514069352
0,7933.789667432326
5,7021.677648485492
0,4790.194010578484
1,1165.8556211810464
1,3729.2639440393177
2,5221.294150780647
2,6697.8172940974355
4,15120.425238985696
4,8309.346124563337
5,5175.83869792779
5,4994.624404998737
6,1184.4379009673862
6,2942.728341984334
7,4862.9928096527
7,1262.8141400412267
3,3786.8006097544267
3,0.0
3,4971.252308239844
8,5452.066384190163
5,3519.344440141589
5,2694.893957300883
10,4412.186293245548
10,3114.507844470275
7,5124.0898812915775
7,6086.364550877897
8,5161.589782715431
9,2975.8822570290185
10,3023.114714970243
10,7794.824350835294
10,1870.9723455465164
11,3182.2239845025633
16,11784.967293850077
8,7983.463253580604
9,5535.997330696243
9,3387.5417245420595
10,1708.9664331980277
10,2563.4724722296114
11,493.93115539261976
11,3478.2134426780576
13,4007.2090419745896
13,1537.1621644296993
14,2083.43451093537
14,0.0
15,1460.5884853649043
15,184.64069642162121
16,3337.8057003062895
14,4921.998582674911
14,1674.3923086234165
14,0.0
15,927.0883451225344
15,538.378751365914
15,1058.7992923112342
19,3657.273048343996
17,1240.5959157817497
17,1081.5809339880632
18,2050.7935037393518
18,1443.0191315691127
19,1777.1311788214998
19,1602.4390658326754
20,2025.5146056378917
20,2861.6642836887822
21,7049.071629355558
17,580.7073314319057
17,2135.5343916498405
17,2008.3189139865763
18,4310.535272039532
18,2622.715261807144
19,1693.780614411361
19,3134.1296541086153
20,2454.444475533263
20,4635.253087959891
21,6994.883899480604
21,13991.701374249094
22,3407.986351964416
22,1018.0250116776359
23,4689.683383085423
23,3920.9941301425756
24,2598.590756869688
24,1070.4542564655412
25,2776.071736350978
25,1862.034108920069
26,2290.5222225173607
26,2527.796344876218
27,1558.7007340724897
21,11930.632291951364
22,76.99611356485296
22,1642.3843742391343
23,3626.6992080469254
23,1412.9477152006534
24,2148.113265145026
24,3720.897159322958
25,1706.3717733830917
25,1642.7650326599612
25,4532.577785017232
33,5850.823573535084
27,4361.637443243483
28,4695.038925146045
29,5370.4200737948895
29,4859.469589181622
30,3158.1581414741104
24,3087.8389114680676
25,3040.385290447791
31,3426.2038974580437
31,6561.217845641454
33,6078.563029227665
33,1232.5448304032464
29,3551.442442790992
29,4424.89749605144
30,5622.71807923129
30,4552.840050616634
31,1865.1121039439593
31,6186.684956182681
32,8715.609131337113
32,10023.461820229117
32,10660.970749233622
34,7388.058038923801
35,11962.218060507612
36,5230.675426402156
36,2635.9274736235375
36,5474.7895383388695
37,5893.887083111979
37,5256.854058767847
34,3785.142077544619
35,8844.356884953917
35,8081.072975358756
36,4947.645180609029
36,7364.636370306087
37,5963.566793762631
37,1622.5720297294615
38,2430.56719633366
39,6381.246881766605
41,8722.180512720088
41,5496.315325615943
38,5928.506266255051
38,4376.23282168141
39,9444.321505382648
43,3078.9866555388803
44,12335.25387937317
46,4185.8288235402415
46,2600.411760396365
46,5229.095106739443
43,4732.388198476359
45,3132.779631526892
46,2057.8465011031444
46,5196.6216209002605
49,5112.956938985312
50,5361.459964259975
50,6749.259083857868
